person_id,reference_year,age_at_reference_year,true_attainment_level,true_attainment_label
P011662,2022,58,3,vocational_or_postsecondary
P011662,2024,60,3,vocational_or_postsecondary
P011663,2022,67,3,vocational_or_postsecondary
P011663,2024,69,3,vocational_or_postsecondary
P011664,2022,19,3,vocational_or_postsecondary
P011664,2024,21,4,bachelor_or_equivalent
P011665,2022,46,3,vocational_or_postsecondary
P011665,2024,48,3,vocational_or_postsecondary
P011668,2022,36,5,master_or_equivalent
P011668,2024,38,5,master_or_equivalent
P011669,2022,56,6,doctorate
P011669,2024,58,6,doctorate
P011670,2022,32,5,master_or_equivalent
P011670,2024,34,5,master_or_equivalent
P011672,2022,51,4,bachelor_or_equivalent
P011672,2024,53,4,bachelor_or_equivalent
P011673,2022,30,5,master_or_equivalent
P011673,2024,32,5,master_or_equivalent
P011675,2022,54,3,vocational_or_postsecondary
P011675,2024,56,3,vocational_or_postsecondary
P011676,2022,53,4,bachelor_or_equivalent
P011676,2024,55,4,bachelor_or_equivalent
P011678,2022,41,4,bachelor_or_equivalent
P011678,2024,43,4,bachelor_or_equivalent
P011679,2022,55,3,vocational_or_postsecondary
P011679,2024,57,3,vocational_or_postsecondary
P011681,2022,26,4,bachelor_or_equivalent
P011681,2024,28,4,bachelor_or_equivalent
P011683,2022,41,2,school_qualification
P011683,2024,43,2,school_qualification
P011684,2022,30,3,vocational_or_postsecondary
P011684,2024,32,3,vocational_or_postsecondary
P011686,2022,37,4,bachelor_or_equivalent
P011686,2024,39,4,bachelor_or_equivalent
P011687,2024,16,3,vocational_or_postsecondary
P011688,2022,61,3,vocational_or_postsecondary
P011688,2024,63,3,vocational_or_postsecondary
P011689,2022,70,2,school_qualification
P011689,2024,72,2,school_qualification
P011690,2022,25,3,vocational_or_postsecondary
P011690,2024,27,3,vocational_or_postsecondary
P011691,2022,18,3,vocational_or_postsecondary
P011691,2024,20,3,vocational_or_postsecondary
P011692,2022,44,3,vocational_or_postsecondary
P011692,2024,46,3,vocational_or_postsecondary
P011693,2022,64,3,vocational_or_postsecondary
P011693,2024,66,3,vocational_or_postsecondary
P011694,2022,45,3,vocational_or_postsecondary
P011694,2024,47,3,vocational_or_postsecondary
P011695,2022,45,3,vocational_or_postsecondary
P011695,2024,47,3,vocational_or_postsecondary
P011696,2022,44,1,low_or_none
P011696,2024,46,1,low_or_none
P011697,2022,69,1,low_or_none
P011697,2024,71,1,low_or_none
P011698,2022,34,2,school_qualification
P011698,2024,36,2,school_qualification
P011699,2022,89,3,vocational_or_postsecondary
P011699,2024,91,3,vocational_or_postsecondary
P011701,2022,56,2,school_qualification
P011701,2024,58,2,school_qualification
P011702,2022,56,3,vocational_or_postsecondary
P011702,2024,58,3,vocational_or_postsecondary
P011703,2022,72,2,school_qualification
P011703,2024,74,2,school_qualification
P011704,2022,24,4,bachelor_or_equivalent
P011704,2024,26,4,bachelor_or_equivalent
P011707,2022,60,1,low_or_none
P011707,2024,62,1,low_or_none
P011708,2022,22,2,school_qualification
P011708,2024,24,3,vocational_or_postsecondary
P011709,2022,17,2,school_qualification
P011709,2024,19,2,school_qualification
P011710,2022,30,4,bachelor_or_equivalent
P011710,2024,32,4,bachelor_or_equivalent
P011712,2022,23,2,school_qualification
P011712,2024,25,3,vocational_or_postsecondary
P011713,2022,27,3,vocational_or_postsecondary
P011713,2024,29,4,bachelor_or_equivalent
P011714,2022,51,2,school_qualification
P011714,2024,53,2,school_qualification
P011715,2022,46,3,vocational_or_postsecondary
P011715,2024,48,3,vocational_or_postsecondary
P011716,2022,75,2,school_qualification
P011716,2024,77,2,school_qualification
P011717,2022,25,2,school_qualification
P011717,2024,27,2,school_qualification
P011718,2022,23,3,vocational_or_postsecondary
P011718,2024,25,3,vocational_or_postsecondary
P011719,2022,28,4,bachelor_or_equivalent
P011719,2024,30,5,master_or_equivalent
P011720,2022,25,2,school_qualification
P011720,2024,27,2,school_qualification
P011721,2022,39,3,vocational_or_postsecondary
P011721,2024,41,3,vocational_or_postsecondary
P011723,2022,18,3,vocational_or_postsecondary
P011723,2024,20,3,vocational_or_postsecondary
P011724,2022,57,4,bachelor_or_equivalent
P011724,2024,59,4,bachelor_or_equivalent
P011725,2022,20,2,school_qualification
P011725,2024,22,2,school_qualification
P011726,2022,76,2,school_qualification
P011726,2024,78,2,school_qualification
P011728,2022,41,3,vocational_or_postsecondary
P011728,2024,43,3,vocational_or_postsecondary
P011729,2022,50,2,school_qualification
P011729,2024,52,2,school_qualification
P011730,2022,49,6,doctorate
P011730,2024,51,6,doctorate
P011731,2022,55,4,bachelor_or_equivalent
P011731,2024,57,4,bachelor_or_equivalent
P011732,2022,49,5,master_or_equivalent
P011732,2024,51,5,master_or_equivalent
P011733,2022,65,1,low_or_none
P011733,2024,67,1,low_or_none
P011734,2022,41,2,school_qualification
P011734,2024,43,2,school_qualification
P011735,2022,79,2,school_qualification
P011735,2024,81,2,school_qualification
P011736,2022,15,1,low_or_none
P011736,2024,17,2,school_qualification
P011737,2022,18,3,vocational_or_postsecondary
P011737,2024,20,3,vocational_or_postsecondary
P011738,2022,33,3,vocational_or_postsecondary
P011738,2024,35,3,vocational_or_postsecondary
P011739,2022,75,2,school_qualification
P011739,2024,77,2,school_qualification
P011740,2022,67,3,vocational_or_postsecondary
P011740,2024,69,3,vocational_or_postsecondary
P011741,2022,24,3,vocational_or_postsecondary
P011741,2024,26,3,vocational_or_postsecondary
P011742,2022,33,3,vocational_or_postsecondary
P011742,2024,35,3,vocational_or_postsecondary
P011743,2022,23,2,school_qualification
P011743,2024,25,3,vocational_or_postsecondary
P011745,2022,52,3,vocational_or_postsecondary
P011745,2024,54,3,vocational_or_postsecondary
P011746,2022,30,3,vocational_or_postsecondary
P011746,2024,32,3,vocational_or_postsecondary
P011747,2022,59,5,master_or_equivalent
P011747,2024,61,5,master_or_equivalent
P011748,2022,59,2,school_qualification
P011748,2024,61,2,school_qualification
P011749,2022,47,3,vocational_or_postsecondary
P011749,2024,49,3,vocational_or_postsecondary
P011750,2022,16,2,school_qualification
P011750,2024,18,3,vocational_or_postsecondary
P011751,2022,20,3,vocational_or_postsecondary
P011751,2024,22,3,vocational_or_postsecondary
P011753,2022,70,2,school_qualification
P011753,2024,72,2,school_qualification
P011754,2022,33,1,low_or_none
P011754,2024,35,2,school_qualification
P011755,2022,77,2,school_qualification
P011755,2024,79,2,school_qualification
P011758,2022,92,1,low_or_none
P011758,2024,94,1,low_or_none
P011759,2022,62,3,vocational_or_postsecondary
P011759,2024,64,3,vocational_or_postsecondary
P011760,2022,51,3,vocational_or_postsecondary
P011760,2024,53,3,vocational_or_postsecondary
P011761,2022,39,4,bachelor_or_equivalent
P011761,2024,41,4,bachelor_or_equivalent
P011762,2022,66,3,vocational_or_postsecondary
P011762,2024,68,3,vocational_or_postsecondary
P011763,2022,40,4,bachelor_or_equivalent
P011763,2024,42,4,bachelor_or_equivalent
P011764,2022,24,2,school_qualification
P011764,2024,26,2,school_qualification
P011765,2022,72,2,school_qualification
P011765,2024,74,2,school_qualification
P011766,2022,61,5,master_or_equivalent
P011766,2024,63,5,master_or_equivalent
P011767,2022,55,3,vocational_or_postsecondary
P011767,2024,57,3,vocational_or_postsecondary
P011768,2022,15,2,school_qualification
P011768,2024,17,2,school_qualification
P011769,2024,15,2,school_qualification
P011770,2022,35,3,vocational_or_postsecondary
P011770,2024,37,3,vocational_or_postsecondary
P011771,2022,70,1,low_or_none
P011771,2024,72,1,low_or_none
P011772,2022,38,2,school_qualification
P011772,2024,40,2,school_qualification
P011773,2022,34,4,bachelor_or_equivalent
P011773,2024,36,4,bachelor_or_equivalent
P011774,2022,23,3,vocational_or_postsecondary
P011774,2024,25,4,bachelor_or_equivalent
P011776,2022,32,2,school_qualification
P011776,2024,34,2,school_qualification
P011777,2022,69,4,bachelor_or_equivalent
P011777,2024,71,4,bachelor_or_equivalent
P011778,2022,76,3,vocational_or_postsecondary
P011778,2024,78,3,vocational_or_postsecondary
P011779,2022,49,3,vocational_or_postsecondary
P011779,2024,51,3,vocational_or_postsecondary
P011780,2022,69,5,master_or_equivalent
P011780,2024,71,5,master_or_equivalent
P011781,2022,68,3,vocational_or_postsecondary
P011781,2024,70,3,vocational_or_postsecondary
P011782,2022,33,2,school_qualification
P011782,2024,35,2,school_qualification
P011784,2022,21,2,school_qualification
P011784,2024,23,2,school_qualification
P011785,2022,48,2,school_qualification
P011785,2024,50,2,school_qualification
P011786,2022,69,3,vocational_or_postsecondary
P011786,2024,71,3,vocational_or_postsecondary
P011787,2022,70,6,doctorate
P011787,2024,72,6,doctorate
P011788,2022,29,3,vocational_or_postsecondary
P011788,2024,31,3,vocational_or_postsecondary
P011789,2022,64,3,vocational_or_postsecondary
P011789,2024,66,3,vocational_or_postsecondary
P011790,2022,59,3,vocational_or_postsecondary
P011790,2024,61,3,vocational_or_postsecondary
P011791,2022,48,3,vocational_or_postsecondary
P011791,2024,50,3,vocational_or_postsecondary
P011792,2022,48,3,vocational_or_postsecondary
P011792,2024,50,3,vocational_or_postsecondary
P011793,2022,35,4,bachelor_or_equivalent
P011793,2024,37,4,bachelor_or_equivalent
P011794,2022,59,3,vocational_or_postsecondary
P011794,2024,61,3,vocational_or_postsecondary
P011795,2022,34,3,vocational_or_postsecondary
P011795,2024,36,3,vocational_or_postsecondary
P011797,2022,65,2,school_qualification
P011797,2024,67,2,school_qualification
P011798,2022,40,4,bachelor_or_equivalent
P011798,2024,42,5,master_or_equivalent
P011800,2022,37,3,vocational_or_postsecondary
P011800,2024,39,3,vocational_or_postsecondary
P011801,2022,65,4,bachelor_or_equivalent
P011801,2024,67,4,bachelor_or_equivalent
P011802,2022,16,2,school_qualification
P011802,2024,18,3,vocational_or_postsecondary
P011803,2022,29,3,vocational_or_postsecondary
P011803,2024,31,3,vocational_or_postsecondary
P011804,2022,53,2,school_qualification
P011804,2024,55,2,school_qualification
P011805,2022,29,3,vocational_or_postsecondary
P011805,2024,31,3,vocational_or_postsecondary
P011807,2022,68,2,school_qualification
P011807,2024,70,2,school_qualification
P011808,2022,26,1,low_or_none
P011808,2024,28,2,school_qualification
P011809,2022,79,1,low_or_none
P011809,2024,81,1,low_or_none
P011810,2022,58,3,vocational_or_postsecondary
P011810,2024,60,3,vocational_or_postsecondary
P011811,2022,62,3,vocational_or_postsecondary
P011811,2024,64,3,vocational_or_postsecondary
P011812,2022,59,2,school_qualification
P011812,2024,61,2,school_qualification
P011815,2022,24,3,vocational_or_postsecondary
P011815,2024,26,3,vocational_or_postsecondary
P011816,2022,72,2,school_qualification
P011816,2024,74,2,school_qualification
P011817,2022,51,4,bachelor_or_equivalent
P011817,2024,53,4,bachelor_or_equivalent
P011818,2022,85,3,vocational_or_postsecondary
P011818,2024,87,3,vocational_or_postsecondary
P011819,2022,66,1,low_or_none
P011819,2024,68,1,low_or_none
P011821,2022,88,2,school_qualification
P011821,2024,90,2,school_qualification
P011822,2022,19,2,school_qualification
P011822,2024,21,2,school_qualification
P011823,2022,26,2,school_qualification
P011823,2024,28,2,school_qualification
P011824,2022,27,3,vocational_or_postsecondary
P011824,2024,29,3,vocational_or_postsecondary
P011825,2022,48,3,vocational_or_postsecondary
P011825,2024,50,3,vocational_or_postsecondary
P011826,2022,41,3,vocational_or_postsecondary
P011826,2024,43,3,vocational_or_postsecondary
P011827,2022,27,4,bachelor_or_equivalent
P011827,2024,29,4,bachelor_or_equivalent
P011828,2022,17,1,low_or_none
P011828,2024,19,2,school_qualification
P011829,2022,73,4,bachelor_or_equivalent
P011829,2024,75,4,bachelor_or_equivalent
P011830,2022,89,4,bachelor_or_equivalent
P011830,2024,91,4,bachelor_or_equivalent
P011832,2022,37,3,vocational_or_postsecondary
P011832,2024,39,3,vocational_or_postsecondary
P011833,2022,38,4,bachelor_or_equivalent
P011833,2024,40,4,bachelor_or_equivalent
P011834,2022,19,2,school_qualification
P011834,2024,21,3,vocational_or_postsecondary
P011835,2022,85,2,school_qualification
P011835,2024,87,2,school_qualification
P011836,2022,15,2,school_qualification
P011836,2024,17,3,vocational_or_postsecondary
P011837,2022,87,2,school_qualification
P011837,2024,89,2,school_qualification
P011838,2022,57,5,master_or_equivalent
P011838,2024,59,5,master_or_equivalent
P011839,2022,30,4,bachelor_or_equivalent
P011839,2024,32,4,bachelor_or_equivalent
P011840,2022,42,3,vocational_or_postsecondary
P011840,2024,44,3,vocational_or_postsecondary
P011841,2022,50,4,bachelor_or_equivalent
P011841,2024,52,4,bachelor_or_equivalent
P011842,2022,30,3,vocational_or_postsecondary
P011842,2024,32,3,vocational_or_postsecondary
P011843,2022,39,4,bachelor_or_equivalent
P011843,2024,41,4,bachelor_or_equivalent
P011844,2022,18,2,school_qualification
P011844,2024,20,3,vocational_or_postsecondary
P011845,2022,69,5,master_or_equivalent
P011845,2024,71,5,master_or_equivalent
P011846,2022,53,4,bachelor_or_equivalent
P011846,2024,55,4,bachelor_or_equivalent
P011848,2022,37,3,vocational_or_postsecondary
P011848,2024,39,3,vocational_or_postsecondary
P011849,2022,81,1,low_or_none
P011849,2024,83,1,low_or_none
P011850,2022,56,2,school_qualification
P011850,2024,58,2,school_qualification
P011851,2022,60,2,school_qualification
P011851,2024,62,2,school_qualification
P011852,2022,20,2,school_qualification
P011852,2024,22,3,vocational_or_postsecondary
P011853,2022,62,4,bachelor_or_equivalent
P011853,2024,64,4,bachelor_or_equivalent
P011854,2022,36,3,vocational_or_postsecondary
P011854,2024,38,3,vocational_or_postsecondary
P011855,2022,20,2,school_qualification
P011855,2024,22,2,school_qualification
P011856,2024,16,1,low_or_none
P011857,2022,48,3,vocational_or_postsecondary
P011857,2024,50,3,vocational_or_postsecondary
P011858,2024,15,2,school_qualification
P011859,2022,41,3,vocational_or_postsecondary
P011859,2024,43,3,vocational_or_postsecondary
P011860,2022,60,3,vocational_or_postsecondary
P011860,2024,62,3,vocational_or_postsecondary
P011861,2022,18,2,school_qualification
P011861,2024,20,2,school_qualification
P011862,2022,44,4,bachelor_or_equivalent
P011862,2024,46,4,bachelor_or_equivalent
P011863,2024,16,2,school_qualification
P011864,2022,89,2,school_qualification
P011864,2024,91,2,school_qualification
P011865,2022,61,1,low_or_none
P011865,2024,63,1,low_or_none
P011867,2022,18,2,school_qualification
P011867,2024,20,2,school_qualification
P011868,2022,25,3,vocational_or_postsecondary
P011868,2024,27,3,vocational_or_postsecondary
P011870,2022,37,1,low_or_none
P011870,2024,39,1,low_or_none
P011871,2022,44,4,bachelor_or_equivalent
P011871,2024,46,4,bachelor_or_equivalent
P011872,2022,37,4,bachelor_or_equivalent
P011872,2024,39,4,bachelor_or_equivalent
P011873,2022,30,3,vocational_or_postsecondary
P011873,2024,32,3,vocational_or_postsecondary
P011874,2022,48,3,vocational_or_postsecondary
P011874,2024,50,3,vocational_or_postsecondary
P011875,2022,70,5,master_or_equivalent
P011875,2024,72,5,master_or_equivalent
P011877,2022,43,3,vocational_or_postsecondary
P011877,2024,45,3,vocational_or_postsecondary
P011878,2022,18,2,school_qualification
P011878,2024,20,3,vocational_or_postsecondary
P011879,2022,23,3,vocational_or_postsecondary
P011879,2024,25,4,bachelor_or_equivalent
P011881,2022,57,2,school_qualification
P011881,2024,59,2,school_qualification
P011882,2022,58,3,vocational_or_postsecondary
P011882,2024,60,3,vocational_or_postsecondary
P011883,2022,70,3,vocational_or_postsecondary
P011883,2024,72,3,vocational_or_postsecondary
P011885,2022,40,4,bachelor_or_equivalent
P011885,2024,42,4,bachelor_or_equivalent
P011886,2022,32,3,vocational_or_postsecondary
P011886,2024,34,3,vocational_or_postsecondary
P011887,2022,88,5,master_or_equivalent
P011887,2024,90,5,master_or_equivalent
P011888,2022,32,2,school_qualification
P011888,2024,34,2,school_qualification
P011889,2022,47,5,master_or_equivalent
P011889,2024,49,5,master_or_equivalent
P011890,2022,65,3,vocational_or_postsecondary
P011890,2024,67,3,vocational_or_postsecondary
P011891,2022,21,4,bachelor_or_equivalent
P011891,2024,23,5,master_or_equivalent
P011892,2022,19,2,school_qualification
P011892,2024,21,3,vocational_or_postsecondary
P011893,2022,67,4,bachelor_or_equivalent
P011893,2024,69,4,bachelor_or_equivalent
P011894,2022,30,3,vocational_or_postsecondary
P011894,2024,32,3,vocational_or_postsecondary
P011895,2022,19,2,school_qualification
P011895,2024,21,2,school_qualification
P011896,2022,50,2,school_qualification
P011896,2024,52,2,school_qualification
P011897,2022,16,2,school_qualification
P011897,2024,18,3,vocational_or_postsecondary
P011898,2022,21,2,school_qualification
P011898,2024,23,2,school_qualification
P011899,2022,70,3,vocational_or_postsecondary
P011899,2024,72,3,vocational_or_postsecondary
P011902,2022,25,5,master_or_equivalent
P011902,2024,27,5,master_or_equivalent
P011903,2022,34,4,bachelor_or_equivalent
P011903,2024,36,4,bachelor_or_equivalent
P011904,2024,15,2,school_qualification
P011905,2022,42,3,vocational_or_postsecondary
P011905,2024,44,3,vocational_or_postsecondary
P011906,2022,17,2,school_qualification
P011906,2024,19,3,vocational_or_postsecondary
P011907,2022,27,5,master_or_equivalent
P011907,2024,29,5,master_or_equivalent
P011908,2022,60,3,vocational_or_postsecondary
P011908,2024,62,3,vocational_or_postsecondary
P011909,2022,17,2,school_qualification
P011909,2024,19,3,vocational_or_postsecondary
P011910,2022,15,2,school_qualification
P011910,2024,17,3,vocational_or_postsecondary
P011912,2022,44,2,school_qualification
P011912,2024,46,2,school_qualification
P011913,2022,19,3,vocational_or_postsecondary
P011913,2024,21,4,bachelor_or_equivalent
P011914,2022,24,3,vocational_or_postsecondary
P011914,2024,26,3,vocational_or_postsecondary
P011915,2022,29,2,school_qualification
P011915,2024,31,2,school_qualification
P011916,2022,52,1,low_or_none
P011916,2024,54,1,low_or_none
P011917,2022,26,3,vocational_or_postsecondary
P011917,2024,28,3,vocational_or_postsecondary
P011918,2022,50,3,vocational_or_postsecondary
P011918,2024,52,3,vocational_or_postsecondary
P011920,2022,63,3,vocational_or_postsecondary
P011920,2024,65,3,vocational_or_postsecondary
P011921,2022,35,1,low_or_none
P011921,2024,37,1,low_or_none
P011922,2022,70,2,school_qualification
P011922,2024,72,2,school_qualification
P011923,2022,44,3,vocational_or_postsecondary
P011923,2024,46,3,vocational_or_postsecondary
P011924,2022,19,2,school_qualification
P011924,2024,21,2,school_qualification
P011928,2022,50,4,bachelor_or_equivalent
P011928,2024,52,4,bachelor_or_equivalent
P011929,2022,62,2,school_qualification
P011929,2024,64,2,school_qualification
P011930,2022,33,3,vocational_or_postsecondary
P011930,2024,35,3,vocational_or_postsecondary
P011932,2022,59,3,vocational_or_postsecondary
P011932,2024,61,3,vocational_or_postsecondary
P011933,2022,63,3,vocational_or_postsecondary
P011933,2024,65,3,vocational_or_postsecondary
P011934,2022,51,3,vocational_or_postsecondary
P011934,2024,53,3,vocational_or_postsecondary
P011935,2022,27,4,bachelor_or_equivalent
P011935,2024,29,4,bachelor_or_equivalent
P011936,2022,88,4,bachelor_or_equivalent
P011936,2024,90,4,bachelor_or_equivalent
P011938,2022,38,2,school_qualification
P011938,2024,40,2,school_qualification
P011939,2022,58,4,bachelor_or_equivalent
P011939,2024,60,4,bachelor_or_equivalent
P011940,2022,29,3,vocational_or_postsecondary
P011940,2024,31,3,vocational_or_postsecondary
P011941,2022,89,2,school_qualification
P011941,2024,91,2,school_qualification
P011942,2022,44,2,school_qualification
P011942,2024,46,2,school_qualification
P011943,2022,50,3,vocational_or_postsecondary
P011943,2024,52,3,vocational_or_postsecondary
P011944,2022,49,3,vocational_or_postsecondary
P011944,2024,51,3,vocational_or_postsecondary
P011945,2022,60,3,vocational_or_postsecondary
P011945,2024,62,3,vocational_or_postsecondary
P011946,2022,58,3,vocational_or_postsecondary
P011946,2024,60,3,vocational_or_postsecondary
P011947,2022,16,1,low_or_none
P011947,2024,18,2,school_qualification
P011948,2022,52,3,vocational_or_postsecondary
P011948,2024,54,3,vocational_or_postsecondary
P011949,2022,49,5,master_or_equivalent
P011949,2024,51,5,master_or_equivalent
P011950,2022,33,2,school_qualification
P011950,2024,35,2,school_qualification
P011951,2022,60,3,vocational_or_postsecondary
P011951,2024,62,3,vocational_or_postsecondary
P011952,2022,29,5,master_or_equivalent
P011952,2024,31,5,master_or_equivalent
P011953,2022,65,3,vocational_or_postsecondary
P011953,2024,67,3,vocational_or_postsecondary
P011954,2022,46,3,vocational_or_postsecondary
P011954,2024,48,3,vocational_or_postsecondary
P011955,2022,69,1,low_or_none
P011955,2024,71,1,low_or_none
P011956,2022,26,3,vocational_or_postsecondary
P011956,2024,28,3,vocational_or_postsecondary
P011957,2022,74,3,vocational_or_postsecondary
P011957,2024,76,3,vocational_or_postsecondary
P011958,2022,19,1,low_or_none
P011958,2024,21,1,low_or_none
P011959,2022,39,1,low_or_none
P011959,2024,41,1,low_or_none
P011960,2022,53,3,vocational_or_postsecondary
P011960,2024,55,3,vocational_or_postsecondary
P011961,2022,62,6,doctorate
P011961,2024,64,6,doctorate
P011962,2022,72,4,bachelor_or_equivalent
P011962,2024,74,4,bachelor_or_equivalent
P011963,2022,44,2,school_qualification
P011963,2024,46,2,school_qualification
P011964,2022,67,5,master_or_equivalent
P011964,2024,69,5,master_or_equivalent
P011965,2024,15,1,low_or_none
P011966,2022,46,2,school_qualification
P011966,2024,48,2,school_qualification
P011967,2022,68,2,school_qualification
P011967,2024,70,2,school_qualification
P011968,2022,44,1,low_or_none
P011968,2024,46,1,low_or_none
P011969,2022,27,3,vocational_or_postsecondary
P011969,2024,29,3,vocational_or_postsecondary
P011970,2022,32,3,vocational_or_postsecondary
P011970,2024,34,4,bachelor_or_equivalent
P011971,2022,39,2,school_qualification
P011971,2024,41,2,school_qualification
P011973,2022,24,3,vocational_or_postsecondary
P011973,2024,26,3,vocational_or_postsecondary
P011974,2022,18,1,low_or_none
P011974,2024,20,2,school_qualification
P011976,2022,69,2,school_qualification
P011976,2024,71,2,school_qualification
P011977,2022,74,3,vocational_or_postsecondary
P011977,2024,76,3,vocational_or_postsecondary
P011979,2022,91,2,school_qualification
P011979,2024,93,2,school_qualification
P011980,2022,70,2,school_qualification
P011980,2024,72,2,school_qualification
P011982,2022,18,3,vocational_or_postsecondary
P011982,2024,20,4,bachelor_or_equivalent
P011984,2022,31,4,bachelor_or_equivalent
P011984,2024,33,4,bachelor_or_equivalent
P011985,2022,24,2,school_qualification
P011985,2024,26,2,school_qualification
P011986,2022,24,4,bachelor_or_equivalent
P011986,2024,26,4,bachelor_or_equivalent
P011988,2022,35,4,bachelor_or_equivalent
P011988,2024,37,4,bachelor_or_equivalent
P011989,2022,87,5,master_or_equivalent
P011989,2024,89,5,master_or_equivalent
P011991,2022,25,4,bachelor_or_equivalent
P011991,2024,27,4,bachelor_or_equivalent
P011992,2022,44,3,vocational_or_postsecondary
P011992,2024,46,3,vocational_or_postsecondary
P011993,2022,23,3,vocational_or_postsecondary
P011993,2024,25,4,bachelor_or_equivalent
P011994,2022,37,3,vocational_or_postsecondary
P011994,2024,39,3,vocational_or_postsecondary
P011995,2022,75,6,doctorate
P011995,2024,77,6,doctorate
P011996,2022,36,4,bachelor_or_equivalent
P011996,2024,38,4,bachelor_or_equivalent
P011998,2022,76,6,doctorate
P011998,2024,78,6,doctorate
P011999,2022,76,3,vocational_or_postsecondary
P011999,2024,78,3,vocational_or_postsecondary
P012000,2022,34,2,school_qualification
P012000,2024,36,2,school_qualification
P012001,2022,33,3,vocational_or_postsecondary
P012001,2024,35,3,vocational_or_postsecondary
P012002,2022,61,2,school_qualification
P012002,2024,63,2,school_qualification
P012003,2022,78,2,school_qualification
P012003,2024,80,2,school_qualification
P012004,2022,25,3,vocational_or_postsecondary
P012004,2024,27,3,vocational_or_postsecondary
P012005,2022,63,3,vocational_or_postsecondary
P012005,2024,65,3,vocational_or_postsecondary
P012006,2022,26,3,vocational_or_postsecondary
P012006,2024,28,3,vocational_or_postsecondary
P012007,2022,63,2,school_qualification
P012007,2024,65,2,school_qualification
P012008,2022,49,4,bachelor_or_equivalent
P012008,2024,51,4,bachelor_or_equivalent
P012009,2022,18,3,vocational_or_postsecondary
P012009,2024,20,3,vocational_or_postsecondary
P012010,2022,46,2,school_qualification
P012010,2024,48,2,school_qualification
P012011,2022,60,4,bachelor_or_equivalent
P012011,2024,62,4,bachelor_or_equivalent
P012012,2022,20,2,school_qualification
P012012,2024,22,2,school_qualification
P012013,2022,35,3,vocational_or_postsecondary
P012013,2024,37,3,vocational_or_postsecondary
P012014,2022,58,3,vocational_or_postsecondary
P012014,2024,60,3,vocational_or_postsecondary
P012015,2022,59,2,school_qualification
P012015,2024,61,2,school_qualification
P012016,2022,76,2,school_qualification
P012016,2024,78,2,school_qualification
P012017,2022,18,2,school_qualification
P012017,2024,20,2,school_qualification
P012018,2022,17,1,low_or_none
P012018,2024,19,2,school_qualification
P012019,2022,27,4,bachelor_or_equivalent
P012019,2024,29,4,bachelor_or_equivalent
P012020,2022,29,3,vocational_or_postsecondary
P012020,2024,31,4,bachelor_or_equivalent
P012021,2022,23,3,vocational_or_postsecondary
P012021,2024,25,3,vocational_or_postsecondary
P012023,2022,29,3,vocational_or_postsecondary
P012023,2024,31,3,vocational_or_postsecondary
P012024,2022,65,3,vocational_or_postsecondary
P012024,2024,67,3,vocational_or_postsecondary
P012025,2022,63,2,school_qualification
P012025,2024,65,2,school_qualification
P012026,2022,30,3,vocational_or_postsecondary
P012026,2024,32,4,bachelor_or_equivalent
P012027,2022,48,3,vocational_or_postsecondary
P012027,2024,50,3,vocational_or_postsecondary
P012029,2022,68,2,school_qualification
P012029,2024,70,2,school_qualification
P012030,2022,32,4,bachelor_or_equivalent
P012030,2024,34,4,bachelor_or_equivalent
P012031,2022,43,3,vocational_or_postsecondary
P012031,2024,45,3,vocational_or_postsecondary
P012033,2022,19,1,low_or_none
P012033,2024,21,2,school_qualification
P012034,2022,32,2,school_qualification
P012034,2024,34,2,school_qualification
P012035,2022,56,4,bachelor_or_equivalent
P012035,2024,58,4,bachelor_or_equivalent
P012036,2022,34,2,school_qualification
P012036,2024,36,2,school_qualification
P012037,2022,48,3,vocational_or_postsecondary
P012037,2024,50,3,vocational_or_postsecondary
P012038,2022,21,2,school_qualification
P012038,2024,23,2,school_qualification
P012039,2022,69,2,school_qualification
P012039,2024,71,2,school_qualification
P012040,2022,26,5,master_or_equivalent
P012040,2024,28,5,master_or_equivalent
P012042,2022,36,2,school_qualification
P012042,2024,38,2,school_qualification
P012043,2022,19,2,school_qualification
P012043,2024,21,2,school_qualification
P012044,2022,53,5,master_or_equivalent
P012044,2024,55,5,master_or_equivalent
P012046,2022,17,1,low_or_none
P012046,2024,19,1,low_or_none
P012048,2022,40,2,school_qualification
P012048,2024,42,2,school_qualification
P012049,2024,15,1,low_or_none
P012050,2022,35,4,bachelor_or_equivalent
P012050,2024,37,5,master_or_equivalent
P012051,2022,46,3,vocational_or_postsecondary
P012051,2024,48,3,vocational_or_postsecondary
P012052,2022,61,3,vocational_or_postsecondary
P012052,2024,63,3,vocational_or_postsecondary
P012053,2024,15,2,school_qualification
P012054,2022,27,4,bachelor_or_equivalent
P012054,2024,29,4,bachelor_or_equivalent
P012055,2022,58,2,school_qualification
P012055,2024,60,2,school_qualification
P012057,2022,61,5,master_or_equivalent
P012057,2024,63,5,master_or_equivalent
P012058,2022,74,3,vocational_or_postsecondary
P012058,2024,76,3,vocational_or_postsecondary
P012059,2022,63,3,vocational_or_postsecondary
P012059,2024,65,3,vocational_or_postsecondary
P012060,2022,22,5,master_or_equivalent
P012060,2024,24,5,master_or_equivalent
P012061,2022,20,4,bachelor_or_equivalent
P012061,2024,22,5,master_or_equivalent
P012062,2022,51,4,bachelor_or_equivalent
P012062,2024,53,4,bachelor_or_equivalent
P012064,2022,40,3,vocational_or_postsecondary
