analysis_address_id,analysis_region_code,analysis_municipality_code,observed_persons,registered_persons,auxiliary_only_persons,persons_with_positive_activity,persons_with_multiple_positive_signals,persons_with_address_conflict,clarification_cases
A000504,R03,R03-M03,4,4,0,2,1,0,0
A000707,R03,R03-M03,2,2,0,0,0,0,0
A000857,R03,R03-M03,9,8,1,7,4,0,1
A000990,R03,R03-M03,6,6,0,4,2,0,1
A001028,R03,R03-M03,2,2,0,0,0,0,0
A001418,R03,R03-M03,4,4,0,3,2,0,0
A001495,R03,R03-M03,5,5,0,5,1,0,0
A001516,R03,R03-M03,11,11,0,8,5,0,0
A001577,R03,R03-M03,2,2,0,0,0,0,0
A001645,R03,R03-M03,7,7,0,5,1,0,0
A001689,R03,R03-M03,2,2,0,0,0,0,0
A001725,R03,R03-M03,2,2,0,2,1,0,0
A001734,R03,R03-M03,1,1,0,1,1,0,0
A002071,R03,R03-M03,2,2,0,2,1,1,2
A002181,R03,R03-M03,6,6,0,2,1,0,0
A002204,R03,R03-M03,1,1,0,0,0,0,0
A002212,R03,R03-M03,3,3,0,2,2,0,0
A002390,R03,R03-M03,2,2,0,2,0,0,0
A002435,R03,R03-M03,1,1,0,1,0,0,0
A002517,R03,R03-M03,3,3,0,3,0,0,0
A002654,R03,R03-M03,2,2,0,1,1,0,0
A002784,R03,R03-M03,5,5,0,5,4,0,0
A002799,R03,R03-M03,3,3,0,3,1,0,0
A002808,R03,R03-M03,10,10,0,8,2,0,0
A002887,R03,R03-M03,6,6,0,5,1,0,0
A003150,R03,R03-M03,5,5,0,3,0,0,0
A003158,R03,R03-M03,1,1,0,1,1,0,0
A003194,R03,R03-M03,3,3,0,2,1,0,0
A003299,R03,R03-M03,10,10,0,8,1,0,0
A003300,R03,R03-M03,10,9,1,7,3,1,2
A003307,R03,R03-M03,7,7,0,6,3,0,0
A003342,R03,R03-M03,1,1,0,1,0,0,0
A003500,R03,R03-M03,6,6,0,3,2,0,0
A003508,R03,R03-M03,14,14,0,8,1,0,0
A003537,R03,R03-M03,2,2,0,2,0,0,0
A003597,R03,R03-M03,3,3,0,1,0,0,0
A003923,R03,R03-M03,1,1,0,0,0,0,0
A003938,R03,R03-M03,13,12,1,10,6,1,2
A004032,R03,R03-M03,2,2,0,1,1,0,0
A004224,R03,R03-M03,2,2,0,2,0,0,0
A004241,R03,R03-M03,4,4,0,3,3,0,0
A004388,R03,R03-M03,16,16,0,9,3,1,1
A004429,R03,R03-M03,4,4,0,4,1,0,0
A004486,R03,R03-M03,8,8,0,8,6,0,0
A004556,R03,R03-M03,4,4,0,2,0,0,0
A004591,R03,R03-M03,4,4,0,4,0,0,0
A004656,R03,R03-M03,1,1,0,0,0,0,0
A004794,R03,R03-M03,8,8,0,7,4,1,1
A004901,R03,R03-M03,3,3,0,1,0,0,0
A004934,R03,R03-M03,2,2,0,2,0,0,0
A005012,R03,R03-M03,4,4,0,3,1,0,0
A005483,R03,R03-M03,1,1,0,1,0,0,0
A005524,R03,R03-M03,5,5,0,5,4,0,0
A005592,R03,R03-M03,7,7,0,3,2,0,0
A005602,R03,R03-M03,1,1,0,0,0,0,0
A005624,R03,R03-M03,2,2,0,2,1,0,0
A005658,R03,R03-M03,3,3,0,3,1,0,0
A005863,R03,R03-M03,4,4,0,3,0,0,0
A005913,R03,R03-M03,1,1,0,1,0,0,0
A005918,R03,R03-M03,1,1,0,1,1,0,0
A005953,R03,R03-M03,8,8,0,6,5,0,0
A006105,R03,R03-M03,3,3,0,0,0,0,0
A006120,R03,R03-M03,2,2,0,2,2,0,0
A006155,R03,R03-M03,4,4,0,4,0,0,0
A006212,R03,R03-M03,2,2,0,2,0,0,1
A006292,R03,R03-M03,1,1,0,0,0,0,0
A006303,R03,R03-M03,5,5,0,3,1,0,0
A006415,R03,R03-M03,6,6,0,3,2,1,1
A006423,R03,R03-M03,7,7,0,7,3,0,0
A006575,R03,R03-M03,1,1,0,0,0,0,0
A006750,R03,R03-M03,3,3,0,2,0,0,0
A006951,R03,R03-M03,3,2,1,1,1,0,1
A007040,R03,R03-M03,5,5,0,2,0,0,0
A007057,R03,R03-M03,2,2,0,2,1,0,0
A007112,R03,R03-M03,9,9,0,8,4,1,2
A007175,R03,R03-M03,3,3,0,2,0,0,0
A007287,R03,R03-M03,5,5,0,3,2,0,0
A007318,R03,R03-M03,4,4,0,0,0,0,0
A007389,R03,R03-M03,7,7,0,7,2,0,0
A007473,R03,R03-M03,4,4,0,3,2,0,0
A007527,R03,R03-M03,2,2,0,2,1,0,0
A007585,R03,R03-M03,7,6,1,3,1,0,1
A007682,R03,R03-M03,5,5,0,1,0,0,0
A007694,R03,R03-M03,3,3,0,3,1,0,0
A007742,R03,R03-M03,5,5,0,5,1,0,0
A007845,R03,R03-M03,5,5,0,3,2,0,0
A007999,R03,R03-M03,6,6,0,5,1,0,0
A008015,R03,R03-M03,3,3,0,2,1,0,0
A008027,R03,R03-M03,6,6,0,3,1,0,0
A008028,R03,R03-M03,6,6,0,5,1,0,0
A008065,R03,R03-M03,8,8,0,7,4,0,0
A008096,R03,R03-M03,1,1,0,0,0,0,0
A008239,R03,R03-M03,5,5,0,2,1,0,0
A008368,R03,R03-M03,1,1,0,0,0,0,0
A008458,R03,R03-M03,1,1,0,1,0,0,0
A008466,R03,R03-M03,4,4,0,4,4,0,0
A008612,R03,R03-M03,7,7,0,5,3,0,0
A008657,R03,R03-M03,3,3,0,3,3,0,0
A008686,R03,R03-M03,5,5,0,4,2,0,1
A008695,R03,R03-M03,3,3,0,2,1,0,0
A008818,R03,R03-M03,4,4,0,2,0,0,0
A008863,R03,R03-M03,5,5,0,2,1,0,0
A008865,R03,R03-M03,6,6,0,4,2,0,0
A008941,R03,R03-M03,2,2,0,1,0,0,0
A009070,R03,R03-M03,3,3,0,1,1,0,0
A009164,R03,R03-M03,11,11,0,7,0,0,0
A009196,R03,R03-M03,2,2,0,2,0,0,0
A009290,R03,R03-M03,2,2,0,2,2,0,0
A009298,R03,R03-M03,3,3,0,1,1,0,0
A009431,R03,R03-M03,4,4,0,3,2,0,0
A009578,R03,R03-M03,8,8,0,4,2,0,0
A009583,R03,R03-M03,6,5,1,5,1,0,1
A009640,R03,R03-M03,6,6,0,4,2,1,1
A009686,R03,R03-M03,5,5,0,3,2,0,0
A009873,R03,R03-M03,1,1,0,0,0,0,0
A010003,R03,R03-M03,1,1,0,0,0,0,0
A010012,R03,R03-M03,5,5,0,4,3,0,0
A010097,R03,R03-M03,2,2,0,2,2,0,0
A010099,R03,R03-M03,12,11,1,8,3,1,2
A010251,R03,R03-M03,4,3,1,4,2,0,1
A010314,R03,R03-M03,4,4,0,3,0,0,0
A010446,R03,R03-M03,1,1,0,0,0,0,0
A010464,R03,R03-M03,2,2,0,2,1,0,0
A010514,R03,R03-M03,1,1,0,0,0,0,0
A010542,R03,R03-M03,1,1,0,1,0,0,0
A010563,R03,R03-M03,8,8,0,7,3,0,0
A010840,R03,R03-M03,3,3,0,2,0,0,0
A010883,R03,R03-M03,1,1,0,1,0,0,0
A011039,R03,R03-M03,2,2,0,2,1,0,0
A011130,R03,R03-M03,11,11,0,7,1,0,0
A011183,R03,R03-M03,9,9,0,6,4,0,0
A011239,R03,R03-M03,5,5,0,5,2,1,1
A011383,R03,R03-M03,6,6,0,2,1,0,0
A011395,R03,R03-M03,5,5,0,2,1,0,0
A011511,R03,R03-M03,1,1,0,0,0,0,0
A011579,R03,R03-M03,4,4,0,3,1,0,0
A011593,R03,R03-M03,3,3,0,3,1,0,0
A011660,R03,R03-M03,2,2,0,2,2,0,0
A011683,R03,R03-M03,4,4,0,2,2,0,0
A011710,R03,R03-M03,5,4,1,1,0,0,1
A011747,R03,R03-M03,3,3,0,2,1,0,0
A011778,R03,R03-M03,1,0,1,1,0,0,1
A011814,R03,R03-M03,4,4,0,3,3,0,0
A011817,R03,R03-M03,3,3,0,1,0,0,0
A012051,R03,R03-M03,5,5,0,4,3,0,0
A012064,R03,R03-M03,6,6,0,5,1,1,1
A012078,R03,R03-M03,6,6,0,5,2,0,0
A012128,R03,R03-M03,6,6,0,6,5,1,1
A012134,R03,R03-M03,2,2,0,1,0,0,0
A012155,R03,R03-M03,4,4,0,1,1,0,0
A012210,R03,R03-M03,1,1,0,1,1,0,0
A012278,R03,R03-M03,1,1,0,1,0,0,0
A012328,R03,R03-M03,3,3,0,2,0,0,0
A012489,R03,R03-M03,1,1,0,0,0,0,0
A012500,R03,R03-M03,2,2,0,2,1,0,0
A012678,R03,R03-M03,5,5,0,3,2,1,1
A012907,R03,R03-M03,1,1,0,0,0,0,0
A012941,R03,R03-M03,1,1,0,0,0,0,0
A013122,R03,R03-M03,11,11,0,10,6,0,0
A013821,R03,R03-M03,2,2,0,2,0,0,0
A013840,R03,R03-M03,1,1,0,1,0,0,0
A013848,R03,R03-M03,1,1,0,1,1,0,0
A013894,R03,R03-M03,8,8,0,3,3,0,0
A013989,R03,R03-M03,7,7,0,5,2,0,0
A013994,R03,R03-M03,4,4,0,3,2,0,0
A014012,R03,R03-M03,9,9,0,8,2,0,0
A014210,R03,R03-M03,2,2,0,1,0,0,0
A014298,R03,R03-M03,2,2,0,1,1,0,0
A014321,R03,R03-M03,7,7,0,6,1,0,0
A014325,R03,R03-M03,2,2,0,1,1,0,0
A014423,R03,R03-M03,7,7,0,5,2,0,0
A014574,R03,R03-M03,1,1,0,1,1,0,0
A014707,R03,R03-M03,5,5,0,4,2,0,1
A014737,R03,R03-M03,3,3,0,3,1,0,0
A014770,R03,R03-M03,10,9,1,10,3,1,2
A014806,R03,R03-M03,5,5,0,4,4,0,0
A014927,R03,R03-M03,1,1,0,1,1,1,1
A015223,R03,R03-M03,4,4,0,4,1,0,0
A015232,R03,R03-M03,1,1,0,1,1,0,0
A015244,R03,R03-M03,3,3,0,2,0,0,0
A015353,R03,R03-M03,15,14,1,7,3,1,2
A015437,R03,R03-M03,8,8,0,7,2,0,0
A015643,R03,R03-M03,6,6,0,4,2,0,0
A015738,R03,R03-M03,2,2,0,2,1,0,0
A015862,R03,R03-M03,6,6,0,6,3,0,0
A015990,R03,R03-M03,8,8,0,5,1,0,0
A016017,R03,R03-M03,2,2,0,2,0,0,0
A016034,R03,R03-M03,1,1,0,1,0,0,0
A016193,R03,R03-M03,1,1,0,0,0,0,0
A016309,R03,R03-M03,6,6,0,5,1,0,0
A016323,R03,R03-M03,1,1,0,1,0,0,0
A016415,R03,R03-M03,2,2,0,2,1,0,0
A016422,R03,R03-M03,6,6,0,5,1,0,0
A016433,R03,R03-M03,4,4,0,4,3,0,0
A016547,R03,R03-M03,5,5,0,4,2,1,1
A016714,R03,R03-M03,2,2,0,0,0,0,0
A016789,R03,R03-M03,1,1,0,1,1,0,0
A016824,R03,R03-M03,2,2,0,1,1,0,0
A016831,R03,R03-M03,1,1,0,1,1,0,0
A016918,R03,R03-M03,4,4,0,4,1,0,0
A017171,R03,R03-M03,1,1,0,1,1,0,0
A017206,R03,R03-M03,2,2,0,0,0,0,0
A017421,R03,R03-M03,11,11,0,6,3,0,0
A017544,R03,R03-M03,6,6,0,5,2,0,0
A017626,R03,R03-M03,14,14,0,10,1,0,0
A017792,R03,R03-M03,1,1,0,0,0,0,0
A017950,R03,R03-M03,1,1,0,0,0,0,0
A000045,R03,R03-M04,9,9,0,7,2,0,1
A000106,R03,R03-M04,2,2,0,2,1,0,0
A000132,R03,R03-M04,2,2,0,2,1,0,1
A000138,R03,R03-M04,8,8,0,5,3,0,0
A000168,R03,R03-M04,1,1,0,1,1,0,0
A000170,R03,R03-M04,3,2,1,3,1,0,1
A000293,R03,R03-M04,4,4,0,3,2,0,0
A000330,R03,R03-M04,6,6,0,5,1,0,1
A000365,R03,R03-M04,1,1,0,1,0,0,1
A000634,R03,R03-M04,5,5,0,2,2,0,0
A000672,R03,R03-M04,2,2,0,2,1,0,0
A000719,R03,R03-M04,2,2,0,2,0,0,0
A000773,R03,R03-M04,12,12,0,7,0,0,0
A000992,R03,R03-M04,2,2,0,2,0,0,0
A001001,R03,R03-M04,1,1,0,0,0,0,0
A001021,R03,R03-M04,2,2,0,2,1,0,0
A001134,R03,R03-M04,3,3,0,1,1,0,0
A001276,R03,R03-M04,9,9,0,3,0,0,0
A001288,R03,R03-M04,2,2,0,2,2,0,0
A001321,R03,R03-M04,2,2,0,2,1,0,0
A001326,R03,R03-M04,6,6,0,4,2,0,0
A001413,R03,R03-M04,2,2,0,2,2,0,0
A001447,R03,R03-M04,6,6,0,5,0,0,0
A001910,R03,R03-M04,2,2,0,2,1,0,0
A001994,R03,R03-M04,4,4,0,3,2,0,1
A001997,R03,R03-M04,1,1,0,1,0,0,0
A002178,R03,R03-M04,3,3,0,2,0,0,0
A002216,R03,R03-M04,3,3,0,1,0,0,0
A002277,R03,R03-M04,7,7,0,2,1,0,1
A002278,R03,R03-M04,4,4,0,3,1,0,0
A002323,R03,R03-M04,4,4,0,3,2,0,0
A002358,R03,R03-M04,5,5,0,4,2,0,1
A002469,R03,R03-M04,5,5,0,2,0,0,0
A002531,R03,R03-M04,6,6,0,5,1,0,0
A002721,R03,R03-M04,9,9,0,7,3,1,1
A002764,R03,R03-M04,2,2,0,1,1,0,0
A002814,R03,R03-M04,5,5,0,2,2,0,0
A002912,R03,R03-M04,8,8,0,5,1,0,0
A003119,R03,R03-M04,15,14,1,11,3,0,1
A003138,R03,R03-M04,1,1,0,1,0,0,0
A003256,R03,R03-M04,4,4,0,3,1,0,0
A003328,R03,R03-M04,1,1,0,1,1,0,0
A003351,R03,R03-M04,2,2,0,0,0,0,0
A003381,R03,R03-M04,2,2,0,2,0,0,0
A003464,R03,R03-M04,4,3,1,2,0,0,1
A003496,R03,R03-M04,10,9,1,7,3,0,1
A003603,R03,R03-M04,8,8,0,6,3,0,0
A003635,R03,R03-M04,1,1,0,0,0,0,0
A003730,R03,R03-M04,10,10,0,9,2,0,1
A003820,R03,R03-M04,7,7,0,5,2,0,0
A003828,R03,R03-M04,3,2,1,3,0,0,1
A003976,R03,R03-M04,3,3,0,2,2,0,0
A004011,R03,R03-M04,1,1,0,0,0,0,0
A004063,R03,R03-M04,1,1,0,1,0,0,0
A004068,R03,R03-M04,6,6,0,5,1,0,0
A004069,R03,R03-M04,9,9,0,5,0,0,0
A004197,R03,R03-M04,5,4,1,5,2,0,1
A004227,R03,R03-M04,4,4,0,2,1,0,0
A004288,R03,R03-M04,3,2,1,3,1,0,1
A004329,R03,R03-M04,4,4,0,3,2,0,0
A004424,R03,R03-M04,1,1,0,1,1,0,0
A004489,R03,R03-M04,2,2,0,2,2,0,0
A004500,R03,R03-M04,8,8,0,7,3,0,0
A004559,R03,R03-M04,2,2,0,2,1,1,1
A004577,R03,R03-M04,1,1,0,0,0,0,0
A004628,R03,R03-M04,7,7,0,5,3,1,1
A004663,R03,R03-M04,2,2,0,1,0,0,0
A004665,R03,R03-M04,6,6,0,5,2,0,0
A004737,R03,R03-M04,12,12,0,11,5,0,0
A004742,R03,R03-M04,1,1,0,1,0,0,0
A004802,R03,R03-M04,2,2,0,2,1,0,0
A004888,R03,R03-M04,5,5,0,5,1,0,0
A004942,R03,R03-M04,2,2,0,2,1,0,0
A004975,R03,R03-M04,8,8,0,4,1,0,0
A004997,R03,R03-M04,6,6,0,2,0,0,0
A005059,R03,R03-M04,2,2,0,1,1,0,0
A005251,R03,R03-M04,6,6,0,3,1,0,0
A005257,R03,R03-M04,5,4,1,4,3,0,1
A005301,R03,R03-M04,4,4,0,3,2,0,0
A005474,R03,R03-M04,6,6,0,2,0,0,0
A005532,R03,R03-M04,3,3,0,1,1,0,0
A005668,R03,R03-M04,1,1,0,1,1,0,0
A005697,R03,R03-M04,6,6,0,3,1,0,0
A005724,R03,R03-M04,5,5,0,3,0,0,0
A005736,R03,R03-M04,6,6,0,6,4,0,0
A005884,R03,R03-M04,4,4,0,2,2,0,0
A005964,R03,R03-M04,1,1,0,1,0,0,0
A006018,R03,R03-M04,1,1,0,1,0,0,0
A006054,R03,R03-M04,2,2,0,2,1,0,0
A006408,R03,R03-M04,1,1,0,0,0,0,0
A006439,R03,R03-M04,6,6,0,2,0,0,0
A006619,R03,R03-M04,2,2,0,2,1,0,0
A006754,R03,R03-M04,7,7,0,5,1,0,1
A006843,R03,R03-M04,9,9,0,4,1,0,0
A006882,R03,R03-M04,2,2,0,2,0,0,0
A007010,R03,R03-M04,2,2,0,1,0,0,0
A007079,R03,R03-M04,8,8,0,5,2,0,0
A007127,R03,R03-M04,1,1,0,0,0,0,0
A007197,R03,R03-M04,3,3,0,2,2,0,0
A007222,R03,R03-M04,16,16,0,12,4,0,0
A007456,R03,R03-M04,4,4,0,4,2,0,0
A007600,R03,R03-M04,4,4,0,3,0,0,0
A007607,R03,R03-M04,2,2,0,2,0,0,0
A007621,R03,R03-M04,2,2,0,1,1,0,0
A007683,R03,R03-M04,1,1,0,0,0,0,0
A007758,R03,R03-M04,11,11,0,6,1,0,0
A008100,R03,R03-M04,17,17,0,12,5,0,0
A008251,R03,R03-M04,1,1,0,0,0,0,0
A008273,R03,R03-M04,4,4,0,3,3,0,0
A008274,R03,R03-M04,3,3,0,1,0,0,0
A008344,R03,R03-M04,9,9,0,6,2,0,0
A008626,R03,R03-M04,1,1,0,1,0,0,0
A008704,R03,R03-M04,7,7,0,6,3,0,0
A008706,R03,R03-M04,8,8,0,3,1,0,0
A008805,R03,R03-M04,2,2,0,2,2,0,0
A008858,R03,R03-M04,2,2,0,1,0,0,0
A008990,R03,R03-M04,4,4,0,4,1,0,0
A009038,R03,R03-M04,5,5,0,5,0,0,0
A009368,R03,R03-M04,10,10,0,7,4,1,1
A009439,R03,R03-M04,6,6,0,4,2,0,0
A009523,R03,R03-M04,6,6,0,4,1,0,0
A009537,R03,R03-M04,3,3,0,3,1,0,0
A009603,R03,R03-M04,3,3,0,2,0,0,0
A009611,R03,R03-M04,6,6,0,5,4,0,0
A009626,R03,R03-M04,2,2,0,1,0,0,0
A009634,R03,R03-M04,7,7,0,3,2,1,2
A009813,R03,R03-M04,5,5,0,3,0,0,0
A009847,R03,R03-M04,14,14,0,13,7,0,0
A009972,R03,R03-M04,2,2,0,2,0,0,0
A010036,R03,R03-M04,3,3,0,2,0,0,0
A010092,R03,R03-M04,5,5,0,5,2,0,1
A010341,R03,R03-M04,3,3,0,1,0,0,0
A010390,R03,R03-M04,1,1,0,1,1,0,0
A010492,R03,R03-M04,2,2,0,2,1,0,0
A010498,R03,R03-M04,2,2,0,2,1,0,0
A010518,R03,R03-M04,1,1,0,1,1,0,0
A010729,R03,R03-M04,1,1,0,0,0,0,0
A010740,R03,R03-M04,3,3,0,1,0,0,0
A010784,R03,R03-M04,5,5,0,5,2,0,0
A011108,R03,R03-M04,4,4,0,4,0,0,0
A011348,R03,R03-M04,9,9,0,6,3,0,0
A011378,R03,R03-M04,2,2,0,2,2,0,0
A011520,R03,R03-M04,2,2,0,2,2,0,0
A011602,R03,R03-M04,5,5,0,2,0,0,1
A011636,R03,R03-M04,1,1,0,0,0,0,0
A011639,R03,R03-M04,11,11,0,9,5,0,0
A011959,R03,R03-M04,4,4,0,3,0,0,0
A011977,R03,R03-M04,2,2,0,2,0,0,0
A012087,R03,R03-M04,6,6,0,5,2,0,0
A012163,R03,R03-M04,4,4,0,2,2,0,0
A012206,R03,R03-M04,6,6,0,3,1,0,0
A012212,R03,R03-M04,7,7,0,5,2,0,0
A012215,R03,R03-M04,5,5,0,4,2,0,0
A012369,R03,R03-M04,4,4,0,3,0,0,1
A012389,R03,R03-M04,3,3,0,2,1,0,0
A012482,R03,R03-M04,2,2,0,1,0,0,0
A012550,R03,R03-M04,6,6,0,4,1,0,0
A012566,R03,R03-M04,1,1,0,1,0,0,0
A012664,R03,R03-M04,4,3,1,4,2,0,1
A012673,R03,R03-M04,2,2,0,2,2,0,0
A012680,R03,R03-M04,3,3,0,3,1,0,0
A012835,R03,R03-M04,1,1,0,1,1,0,0
A012879,R03,R03-M04,6,6,0,6,1,1,1
A013011,R03,R03-M04,4,4,0,4,3,0,0
A013016,R03,R03-M04,1,1,0,1,0,0,0
A013034,R03,R03-M04,9,9,0,8,2,0,0
A013222,R03,R03-M04,1,1,0,1,1,0,0
A013245,R03,R03-M04,2,2,0,0,0,0,0
A013379,R03,R03-M04,1,1,0,0,0,0,0
A013414,R03,R03-M04,8,8,0,5,3,0,0
A013431,R03,R03-M04,4,4,0,2,1,1,1
A013442,R03,R03-M04,2,2,0,2,1,1,1
A013635,R03,R03-M04,6,6,0,4,1,0,2
A013816,R03,R03-M04,3,3,0,1,0,0,0
A013874,R03,R03-M04,5,5,0,4,3,1,1
A013919,R03,R03-M04,1,1,0,1,1,0,0
A013947,R03,R03-M04,3,3,0,2,2,1,1
A014196,R03,R03-M04,5,5,0,5,2,0,0
A014218,R03,R03-M04,7,7,0,6,3,0,0
A014264,R03,R03-M04,4,4,0,3,1,1,2
A014290,R03,R03-M04,2,2,0,2,0,0,1
A014378,R03,R03-M04,14,14,0,8,3,0,0
A014540,R03,R03-M04,13,13,0,11,5,0,0
A014611,R03,R03-M04,4,4,0,3,1,0,0
A014634,R03,R03-M04,3,3,0,2,2,0,1
A014705,R03,R03-M04,8,8,0,6,3,0,0
A014783,R03,R03-M04,5,5,0,5,3,0,0
A014849,R03,R03-M04,2,2,0,2,1,0,0
A014861,R03,R03-M04,5,5,0,4,2,0,0
A014920,R03,R03-M04,1,1,0,1,1,0,0
A014957,R03,R03-M04,1,1,0,1,0,0,0
A015036,R03,R03-M04,3,3,0,2,0,0,0
A015185,R03,R03-M04,3,3,0,1,1,0,0
A015203,R03,R03-M04,6,6,0,6,3,1,1
A015225,R03,R03-M04,2,2,0,1,0,0,0
A015231,R03,R03-M04,2,2,0,0,0,0,0
A015302,R03,R03-M04,2,2,0,2,0,0,0
A015327,R03,R03-M04,4,4,0,2,0,0,0
A015380,R03,R03-M04,4,3,1,3,1,0,1
A015530,R03,R03-M04,2,2,0,2,0,0,0
A015642,R03,R03-M04,5,5,0,3,1,0,0
A015648,R03,R03-M04,2,2,0,0,0,0,0
A015686,R03,R03-M04,3,3,0,3,1,0,0
A015974,R03,R03-M04,6,6,0,3,1,0,0
A016015,R03,R03-M04,5,5,0,3,1,0,0
A016162,R03,R03-M04,5,5,0,3,1,0,0
A016200,R03,R03-M04,3,3,0,2,1,0,0
A016230,R03,R03-M04,3,3,0,3,3,0,0
A016293,R03,R03-M04,1,1,0,0,0,0,0
A016372,R03,R03-M04,6,6,0,3,1,0,0
A016468,R03,R03-M04,14,14,0,9,1,0,0
A016561,R03,R03-M04,6,4,2,5,2,0,2
A016660,R03,R03-M04,8,8,0,6,1,0,1
A016686,R03,R03-M04,2,2,0,2,1,0,0
A016751,R03,R03-M04,4,4,0,2,0,0,0
A016764,R03,R03-M04,5,5,0,5,1,0,0
A016852,R03,R03-M04,6,6,0,3,2,0,0
A016877,R03,R03-M04,1,1,0,1,0,0,0
A016895,R03,R03-M04,9,9,0,6,4,0,0
A017064,R03,R03-M04,1,1,0,0,0,0,0
A017066,R03,R03-M04,1,1,0,0,0,0,0
A017119,R03,R03-M04,11,11,0,9,2,0,0
A017229,R03,R03-M04,6,6,0,3,3,0,0
A017474,R03,R03-M04,4,4,0,2,0,0,0
A017479,R03,R03-M04,2,2,0,1,1,0,0
A017492,R03,R03-M04,16,16,0,14,5,0,0
A017499,R03,R03-M04,10,10,0,5,0,0,0
A017589,R03,R03-M04,1,1,0,1,0,0,0
A017741,R03,R03-M04,1,1,0,0,0,0,0
A017812,R03,R03-M04,2,2,0,2,2,0,0
A017874,R03,R03-M04,2,2,0,2,1,0,0
A000142,R04,R04-M01,5,5,0,4,1,0,0
A000239,R04,R04-M01,13,13,0,11,5,0,0
A000242,R04,R04-M01,2,2,0,2,1,0,0
A000283,R04,R04-M01,4,4,0,2,2,0,0
A000322,R04,R04-M01,5,5,0,3,1,0,0
A000355,R04,R04-M01,4,4,0,2,1,0,0
A000518,R04,R04-M01,3,3,0,1,0,0,0
A000586,R04,R04-M01,2,2,0,0,0,0,0
A000690,R04,R04-M01,5,5,0,3,1,0,0
A000965,R04,R04-M01,2,2,0,2,1,0,0
A001084,R04,R04-M01,2,2,0,2,1,0,0
A001149,R04,R04-M01,3,3,0,2,2,0,0
A001369,R04,R04-M01,1,1,0,1,0,0,0
A001471,R04,R04-M01,3,3,0,3,2,0,0
A001488,R04,R04-M01,4,4,0,4,2,0,0
A001512,R04,R04-M01,3,3,0,2,1,0,0
A001614,R04,R04-M01,13,13,0,7,1,0,0
A001805,R04,R04-M01,6,5,1,4,1,0,1
A001827,R04,R04-M01,2,2,0,1,1,0,0
A001932,R04,R04-M01,2,2,0,2,1,0,0
A002042,R04,R04-M01,6,5,1,5,0,0,1
A002407,R04,R04-M01,3,3,0,2,2,0,0
A002498,R04,R04-M01,8,8,0,6,1,0,0
A002514,R04,R04-M01,2,2,0,1,1,0,0
A002619,R04,R04-M01,13,13,0,10,7,0,0
A002686,R04,R04-M01,4,4,0,3,1,0,0
A002832,R04,R04-M01,1,0,1,1,0,0,1
A002843,R04,R04-M01,1,1,0,1,0,0,0
A002900,R04,R04-M01,1,1,0,1,1,0,0
A002903,R04,R04-M01,4,4,0,3,2,0,0
A002914,R04,R04-M01,1,1,0,1,0,0,0
A002944,R04,R04-M01,1,1,0,0,0,0,0
A003067,R04,R04-M01,3,3,0,2,1,0,0
A003245,R04,R04-M01,1,1,0,1,0,0,0
A003346,R04,R04-M01,7,7,0,6,3,0,0
A003396,R04,R04-M01,1,1,0,1,0,0,0
A003550,R04,R04-M01,11,11,0,8,1,0,0
A003587,R04,R04-M01,5,5,0,4,1,0,0
A003773,R04,R04-M01,8,8,0,7,4,0,0
A003825,R04,R04-M01,4,4,0,3,2,0,0
A003876,R04,R04-M01,3,3,0,3,2,0,0
A003983,R04,R04-M01,2,2,0,1,0,0,0
A004049,R04,R04-M01,12,12,0,9,4,0,0
A004065,R04,R04-M01,4,4,0,3,3,0,0
A004325,R04,R04-M01,2,2,0,2,1,0,0
A004415,R04,R04-M01,2,2,0,1,1,0,0
A004543,R04,R04-M01,2,2,0,1,0,0,0
A004646,R04,R04-M01,5,5,0,5,0,0,0
A004661,R04,R04-M01,6,6,0,2,0,0,0
A004668,R04,R04-M01,6,6,0,4,2,0,0
A004828,R04,R04-M01,19,19,0,13,5,0,0
A004860,R04,R04-M01,2,2,0,2,1,1,1
A004863,R04,R04-M01,1,1,0,1,0,0,0
A004928,R04,R04-M01,5,5,0,3,1,0,0
A004971,R04,R04-M01,2,2,0,1,0,0,0
A005039,R04,R04-M01,1,1,0,1,0,0,0
A005169,R04,R04-M01,4,4,0,2,1,0,0
A005278,R04,R04-M01,8,7,1,5,3,0,2
A005340,R04,R04-M01,1,1,0,1,1,0,0
A005345,R04,R04-M01,1,0,1,0,0,0,1
A005349,R04,R04-M01,20,19,1,12,5,1,2
A005413,R04,R04-M01,2,2,0,2,0,0,0
A005460,R04,R04-M01,1,1,0,0,0,0,0
A005482,R04,R04-M01,1,1,0,0,0,0,0
A005504,R04,R04-M01,4,4,0,3,1,0,0
A005657,R04,R04-M01,1,1,0,0,0,0,0
A005753,R04,R04-M01,5,4,1,4,3,0,1
A005793,R04,R04-M01,10,10,0,8,3,0,0
A005976,R04,R04-M01,6,6,0,5,2,0,0
A005998,R04,R04-M01,4,3,1,3,1,0,1
A006421,R04,R04-M01,4,4,0,4,2,0,0
A006566,R04,R04-M01,2,2,0,1,0,0,0
A006607,R04,R04-M01,10,10,0,9,2,0,0
A006683,R04,R04-M01,9,9,0,6,3,0,0
A006721,R04,R04-M01,12,12,0,8,4,0,0
A006735,R04,R04-M01,3,3,0,2,1,0,0
A006800,R04,R04-M01,3,3,0,2,0,0,0
